,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,MaxFeretDiameter,MaxFeretAngle,MinFeretDiameter,MinFeretAngle,Area,ConvexArea,EquivDiameter,Solidity,Extent,Perimeter,Sex
36,978.671098,733.0396316,0.662552694,1.640769184,0.593008317,985.649532,176.684742,739.4382255,87.43622979,563218,566592,846.824321,0.9940451,0.7734811,3451.578,1
37,939.037251,758.182828,0.58999839,1.94628916,0.77327276,944.025953,177.32854,763,-90,558967,561500,843.62248,0.99548887,0.77687284,3010.778,0
38,970.3112283,748.3521594,0.636532823,0.728816027,0.630924728,978.4600145,-178.2430117,753.931486,90.93919095,569961,573684,851.878444,0.99351036,0.7729207,3366.151,1
39,989.7119429,775.1984232,0.621698544,1.281912505,0.758093135,993.7655659,177.7508686,779.3543072,86.42366563,602335,604732,875.737827,0.99603626,0.7766723,3156.681,1
40,994.376093,758.356144,0.64681706,0.01213889,0.69130959,996.885149,-177.58534,765.29398,-87.137595,592086,595673,868.255325,0.99397824,0.77505066,3277.517,0
42,944.649835,740.7748241,0.620534336,1.248619061,0.714193201,946.888061,177.5183322,747.9780293,86.42366563,549250,551927,836.257628,0.99514972,0.7762066,3105.582,1
43,984.4798987,754.3626329,0.642536609,0.065359813,0.95076525,991.5825735,-176.7624767,758,-90,582936,584102,861.520265,0.99800377,0.77681298,2772.598,1
44,971.82964,723.241068,0.66795061,-0.4333084,0.6889476,971.249196,-178.70207,729.195004,-88.090848,551705,554607,838.124468,0.99476747,0.7783319,3169.093,0
45,949.5093426,753.9846148,0.607815683,1.713742558,0.685615146,956.2531046,178.6817106,760.6050992,-91.50743576,561863,564562,845.805055,0.9952193,0.77230329,3205.934,1
46,960.6289027,737.0560361,0.641331315,1.770879832,0.696917919,966.3891556,174.5371836,742.9179027,-88.4518423,555740,559222,841.183776,0.99377349,0.77485723,3162.414,1
47,995.0932432,740.7253902,0.667758627,0.420753864,0.632513886,998.4813468,-178.2208434,745.5270531,-88.72696998,578646,582121,858.344319,0.99403045,0.77721932,3387.457,1
48,986.5667028,739.5766092,0.66183806,1.105071294,0.684087496,992.8887148,177.5756186,745,-90,572839,575623,854.026503,0.9951635,0.77511231,3240.743,1
51,953.7813536,771.2904305,0.588268227,0.131048853,0.599954288,954.7172356,177.7789498,773.6687019,89.43829467,577457,580860,857.462004,0.99414145,0.78204243,3474.667,1
52,1012.94898,772.503642,0.64683688,1.29662994,0.64361049,1017.60208,178.028947,777,-90,614519,617738,884.550672,0.99478905,0.77766641,3460.724,0
53,999.2512695,715.7975635,0.697757649,-0.295470023,0.685745967,1002.455485,176.9121119,721.5833449,-91.46880071,561159,563869,845.275002,0.99519392,0.77567718,3203.617,1
54,993.118591,768.342916,0.633592637,-1.458250274,0.695616257,996.8074037,-176.5491568,773,-90,598770,601010,873.142395,0.99627294,0.7777163,3285.754,1
55,1006.69993,757.485517,0.65865601,-0.7625238,0.94106892,1010.83184,-177.67541,760,-90,598515,599969,872.956451,0.99757654,0.77972251,2823.897,0
56,978.950731,754.4289746,0.637257909,0.069436434,0.913356894,982.1471377,179.0082169,759,-90,579498,580991,858.976001,0.99743025,0.77749692,2820.507,1
57,940.4482733,726.0859298,0.635545211,0.626165147,0.721954623,940.9829967,177.3808488,732.8899425,-92.43664825,536092,538799,826.180086,0.99497586,0.77804998,3051.566,1
58,955.043034,729.055835,0.64595575,0.87514698,0.6955164,964.498315,178.158136,735.599476,-91.218875,546547,549035,834.197371,0.99546841,0.77032265,3139.284,0
59,978.321097,748.8389246,0.643515995,0.063761706,0.83299902,984.4881919,178.1955469,754.4784,-92.72631099,575070,576871,855.687948,0.99687798,0.77406719,2942.25,1
60,999.777151,768.078189,0.64015066,1.37659238,0.82953871,1003.33693,178.515098,772.99884,-91.636577,602627,604548,875.950071,0.99682242,0.77726329,3018.277,0
61,967.527994,754.778176,0.62564249,2.5659467,0.59561697,971.916149,176.401602,760.453687,-93.576334,573312,576851,854.37902,0.99386497,0.77484856,3474.757,0
62,961.485416,756.962415,0.61659011,0.4286676,0.61793324,966.250485,-178.69535,764.752442,86.7295121,571341,574189,852.909113,0.99503996,0.77212834,3405.504,0
63,967.3568732,730.1078858,0.656018135,1.052136376,0.697454681,967.4347523,178.282234,731,-90,554643,556846,840.353141,0.99604379,0.78463863,3158.071,1
65,1009.585265,786.5254856,0.626951848,3.145133555,0.740918864,1016.543654,176.8420552,797,-90,623192,625600,890.770845,0.9961509,0.77036671,3247.96,1
66,956.560648,697.442436,0.68439152,0.34990581,0.60494647,960.188002,178.866169,702.848486,92.385944,523465,526915,816.39227,0.99345245,0.7756416,3294.4,0
67,1022.740803,781.0137091,0.645633116,-0.416400638,0.95093508,1024.632617,-177.9865245,779,-90,626967,628308,893.464704,0.9978657,0.78597235,2875.263,1
68,982.5234572,778.6901737,0.609818565,0.597511724,0.888090619,987.3165652,178.5490494,781,-90,600407,602076,874.335139,0.99722792,0.77889257,2911.594,1
69,983.492605,790.12523,0.59545717,0.87334406,0.7452315,994.304782,175.327281,800.587582,88.363423,610092,612521,881.358758,0.99603442,0.76780536,3204.287,0
70,936.7439431,740.7523824,0.61210874,2.598600186,0.856895953,942.5778482,177.9936435,746,-90,544547,546127,832.669667,0.9971069,0.77489996,2822.77,1
